date,msg_count,unique_senders,avg_msg_length,emoji_count,media_count,reaction_count,night_ratio,evening_ratio,label
2022-01-01,90.0,14.0,16.38888888888889,0.0,17.0,21.0,0.0777777777777777,0.1555555555555555,Regular day
2022-01-02,41.0,6.0,19.121951219512194,1.0,0.0,5.0,0.1951219512195122,0.6585365853658537,Quiet day
2022-01-03,26.0,7.0,19.428571428571427,0.0,4.0,2.0,0.0,0.3461538461538461,Quiet day
2022-01-04,14.0,5.0,24.0,0.0,5.0,11.0,0.0714285714285714,0.7142857142857143,Quiet day
2022-01-05,207.0,15.0,21.19047619047619,9.0,19.0,29.0,0.144927536231884,0.1932367149758454,Dymy
2022-01-06,137.0,14.0,20.99242424242424,2.0,5.0,12.0,0.0364963503649635,0.0875912408759124,Regular day
2022-01-07,110.0,10.0,17.175257731958762,3.0,12.0,14.0,0.0727272727272727,0.2363636363636363,Regular day
2022-01-08,78.0,10.0,16.794520547945204,3.0,5.0,6.0,0.0,0.282051282051282,Quiet day
2022-01-09,65.0,10.0,18.45652173913044,3.0,19.0,19.0,0.3230769230769231,0.1076923076923077,Nocne wydarzenia
2022-01-10,94.0,12.0,19.43209876543209,5.0,13.0,19.0,0.1702127659574468,0.2234042553191489,Regular day
2022-01-11,156.0,16.0,17.879194630872483,5.0,7.0,22.0,0.0192307692307692,0.2948717948717949,Regular day
2022-01-12,27.0,7.0,27.5,1.0,1.0,6.0,0.0,0.1111111111111111,Quiet day
2022-01-13,71.0,11.0,17.46031746031746,8.0,7.0,17.0,0.028169014084507,0.4225352112676056,Regular day
2022-01-14,31.0,8.0,19.884615384615383,0.0,4.0,2.0,0.064516129032258,0.1935483870967742,Quiet day
2022-01-15,52.0,10.0,17.1,2.0,12.0,4.0,0.1538461538461538,0.3461538461538461,Quiet day
2022-01-16,47.0,11.0,14.666666666666666,6.0,13.0,21.0,0.2127659574468085,0.7446808510638298,Regular day
2022-01-17,323.0,15.0,20.451957295373667,31.0,31.0,52.0,0.3900928792569659,0.1640866873065015,Dymy
2022-01-18,66.0,11.0,16.901960784313726,12.0,15.0,24.0,0.0151515151515151,0.7575757575757576,Regular day
2022-01-19,103.0,14.0,22.584415584415584,2.0,20.0,30.0,0.0097087378640776,0.2815533980582524,Regular day
2022-01-20,119.0,14.0,17.626262626262626,1.0,19.0,21.0,0.0252100840336134,0.7058823529411765,Regular day
2022-01-21,137.0,14.0,17.467741935483872,5.0,12.0,27.0,0.0,0.3211678832116788,Regular day
2022-01-22,34.0,10.0,19.633333333333333,4.0,4.0,5.0,0.088235294117647,0.1176470588235294,Quiet day
2022-01-23,79.0,11.0,19.070422535211268,1.0,7.0,6.0,0.0,0.759493670886076,Quiet day
2022-01-24,47.0,9.0,15.47222222222222,1.0,11.0,7.0,0.0851063829787234,0.5957446808510638,Quiet day
2022-01-25,69.0,11.0,17.23728813559322,5.0,10.0,8.0,0.1884057971014492,0.2898550724637681,Regular day
2022-01-26,102.0,13.0,17.6,8.0,11.0,28.0,0.0,0.3333333333333333,Regular day
2022-01-27,21.0,11.0,24.789473684210527,0.0,2.0,2.0,0.0,0.7142857142857143,Quiet day
2022-01-28,62.0,10.0,16.26530612244898,2.0,13.0,15.0,0.0967741935483871,0.7258064516129032,Regular day
2022-01-29,94.0,11.0,18.337209302325583,2.0,8.0,3.0,0.3936170212765957,0.1489361702127659,Nocne wydarzenia
2022-01-30,117.0,15.0,15.4811320754717,17.0,11.0,10.0,0.017094017094017,0.0427350427350427,Regular day
2022-01-31,17.0,7.0,22.75,0.0,5.0,4.0,0.1764705882352941,0.1176470588235294,Quiet day
2022-02-01,27.0,9.0,17.24,1.0,2.0,3.0,0.0,0.8518518518518519,Quiet day
2022-02-02,34.0,9.0,20.41935483870968,0.0,3.0,6.0,0.0,0.1470588235294117,Quiet day
2022-02-03,21.0,9.0,120.05555555555556,0.0,3.0,5.0,0.0952380952380952,0.5714285714285714,Quiet day
2022-02-04,47.0,12.0,16.5,3.0,5.0,24.0,0.0212765957446808,0.574468085106383,Regular day
2022-02-05,49.0,9.0,19.711111111111112,2.0,3.0,2.0,0.1224489795918367,0.5714285714285714,Quiet day
2022-02-06,24.0,8.0,26.52173913043478,1.0,1.0,8.0,0.0416666666666666,0.1666666666666666,Quiet day
2022-02-07,47.0,7.0,18.431818181818183,2.0,3.0,6.0,0.0,0.9148936170212766,Quiet day
2022-02-08,63.0,10.0,22.649122807017545,0.0,4.0,21.0,0.0158730158730158,0.0793650793650793,Regular day
